valid_time,t2m,tp,latitude,longitude
2022-07-08 00:00:00,275.6923,0.0,78.0,20.0
2022-07-08 01:00:00,275.65295,0.0,78.0,20.0
2022-07-08 02:00:00,275.67194,0.0,78.0,20.0
2022-07-08 03:00:00,275.65826,0.0,78.0,20.0
2022-07-08 04:00:00,275.6223,0.0,78.0,20.0
2022-07-08 05:00:00,275.58344,0.0,78.0,20.0
2022-07-08 06:00:00,275.68054,0.0,78.0,20.0
2022-07-08 07:00:00,275.82364,0.0,78.0,20.0
2022-07-08 08:00:00,275.90924,0.0,78.0,20.0
2022-07-08 09:00:00,276.0187,0.0,78.0,20.0
2022-07-08 10:00:00,276.1059,0.0,78.0,20.0
2022-07-08 11:00:00,276.1769,0.0,78.0,20.0
2022-07-08 12:00:00,276.28217,0.0,78.0,20.0
2022-07-08 13:00:00,276.37207,0.0,78.0,20.0
2022-07-08 14:00:00,276.4242,0.0,78.0,20.0
2022-07-08 15:00:00,276.4093,0.0,78.0,20.0
2022-07-08 16:00:00,276.48572,0.0,78.0,20.0
2022-07-08 17:00:00,276.5728,0.0,78.0,20.0
2022-07-08 18:00:00,276.62463,0.0,78.0,20.0
2022-07-08 19:00:00,276.67877,0.0,78.0,20.0
2022-07-08 20:00:00,276.70435,0.0,78.0,20.0
2022-07-08 21:00:00,276.70648,0.0,78.0,20.0
2022-07-08 22:00:00,276.724,0.0,78.0,20.0
2022-07-08 23:00:00,276.71445,0.0,78.0,20.0
2022-07-09 00:00:00,276.63947,0.0,78.0,20.0
2022-07-09 01:00:00,276.55695,0.0,78.0,20.0
2022-07-09 02:00:00,276.50208,0.0,78.0,20.0
2022-07-09 03:00:00,276.45618,0.0,78.0,20.0
2022-07-09 04:00:00,276.4271,0.0,78.0,20.0
2022-07-09 05:00:00,276.39453,0.0,78.0,20.0
2022-07-09 06:00:00,276.37982,0.0,78.0,20.0
2022-07-09 07:00:00,276.3997,0.0,78.0,20.0
2022-07-09 08:00:00,276.44025,0.0,78.0,20.0
2022-07-09 09:00:00,276.57416,0.0,78.0,20.0
2022-07-09 10:00:00,276.66287,0.0,78.0,20.0
2022-07-09 11:00:00,276.85168,0.0,78.0,20.0
2022-07-09 12:00:00,277.01926,0.0,78.0,20.0
2022-07-09 13:00:00,277.15662,0.0,78.0,20.0
2022-07-09 14:00:00,277.2376,0.0,78.0,20.0
2022-07-09 15:00:00,277.35696,0.0,78.0,20.0
2022-07-09 16:00:00,277.48657,0.0,78.0,20.0
2022-07-09 17:00:00,277.5852,0.0,78.0,20.0
2022-07-09 18:00:00,277.50986,0.0,78.0,20.0
2022-07-09 19:00:00,277.40796,0.0,78.0,20.0
